_id,_hash,ApplicantIncome,CoapplicantIncome,Credit_History,LoanAmount,Loan_Amount_Term,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
67b2ed3e78c5c95c651584d1,5e1400fb4b583179660ed6d812948ccfaa4c7d3bc1ad8dd75f23aa02b9749cc7,5849,0.0,1.0,146.41216216216216,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d2,79c08b76c7c576ee13c53bff50830c481d8962fc83ac7652b9300917430e8e59,4583,1508.0,1.0,128.0,360.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
67b2ed3e78c5c95c651584d3,b664e5dd26db5b5fe309a0162a8c6f1bf64d3023c7e93fc3fda64912a24ffada,3000,0.0,1.0,66.0,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d4,3fc9303ee2c6aaf2f3924f7bdf05dc6373e353e83c38ed6e6fda8ddb99504627,2583,2358.0,1.0,120.0,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d5,4be6fcd4a7bdb72ac3c9c22266df328ca040d47365016a37a269d321e883a852,6000,0.0,1.0,141.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d6,1296a0fa0494e768280c0f39a61c293aa522d329678852090921b71cda488d54,5417,4196.0,1.0,267.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d7,a99d1ca38cbf9a727b6e3ba13116ca236666964b29a367e2871cf5f7de8765e1,2333,1516.0,1.0,95.0,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584d8,068ee490a040c4750f2bd19f81b2017b6861262e78eff778bf7f2ad1702c4512,3036,2504.0,0.0,158.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
67b2ed3e78c5c95c651584d9,2abcebe39800c9a0c8247ef39aaa3c8473af61f609f6430404a4c31474121048,4006,1526.0,1.0,168.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
67b2ed3e78c5c95c651584da,55c268b7b81a55c6c5b49fb016e532436d659cce0ebcedd51c77e7d156514372,12841,10968.0,1.0,349.0,360.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
